queueVersion,queueChecksum,word,candidateId,length,reviewerId,reviewedAt,source,class,confidence,note
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","'BOUT","bbb34d2d5ad0faf8","5","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","'TWAS","2d8837cbb5f82940","5","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","A CAPPELLA","3ed27ca7feab1d2b","10","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","A-BOMB","5cb36bbe1f3d355f","6","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","A.M.A.","c1a47fa3e2fd39c0","6","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","A1","532e7bfbdda839ab","2","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","AAA","baf01b48fd60cf46","3","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","AAA'S","f9db117cc363ddf7","5","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","AB","56817421faf0ca0d","2","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABACUSES","f5c7e1e39acea642","8","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABBASID","558b4af2e916fda7","7","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABBÉ","615f5b187cca6257","4","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABC","57befb5dee4d2cd3","3","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABDOMENS","0fc3b9ac624cbb6d","8","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABDUL-JABBAR","0276d64066b62c53","12","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABE","774917460a08d85f","3","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABE'S","50d7277e6766e0f0","5","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABETTOR'S","5f6cddcf43332298","9","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABM","c290a77611ee2f9f","3","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABOUT-FACED","31f50d1c9aeabe55","11","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABOUT-FACES","761e1506a788af81","11","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABRAHAM'S","49bbea5404bd7231","9","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABRAMS","cc3999296d6876b9","6","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABROGATED","155ddb7095a11b25","9","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABS","71ed31a6b915f273","3","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABSENTEE BALLOT","c352ef38b58db41a","15","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABSENTEE LANDLORD","0e0077ed0ad387d7","17","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABSOLUTE PITCH","20436873094c9a8b","14","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABSTAINER'S","4254327141865861","11","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABSTAINERS","47def8b6242748fd","10","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABSTRACT NOUN","6f92cf526b293dbe","13","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABSURDIST'S","7a0b4290a3b28c1b","11","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ABU DHABI'S","89fb6ba30fd038c2","11","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","AC","019f7b5baa971d68","2","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ACHOO","c5d30adb62d22ce4","5","","","human-review-v1","","",""
"human-golden-queue-v1","30e9d84fc23034ccb0eabac97f9e8f05b18f4218585e308b703346c2cd768ceb","ACQUIRES","67cdf7dcaf242a98","8","","","human-review-v1","","",""
